text,index
"['nightclub', 'open', 'sinc', 'last', 'week', 'sep', 'guest', 'longer', 'need', 'show', 'coronapass', 'dan']",0
"['twiv', 'vampir', 'vax', 'discus', 'ramp', 'come', 'cab']",1
"['ron', 'desanti', 'say', 'floridian', 'take', 'regeneron', 'antibodi', 'treatment', 'given', 'trump', 'washington']",2
"['watch', 'malaysia', 'adult', 'popul', 'fulli', 'vaccin']",3
"['new', 'case', 'india', 'gmt', 'coronavirusupd', 'coronaviruspandem']",4
"['doctor', 'spread', 'misinform', 'licens', 'revok', 'medic', 'board', 'say']",5
"['updat', 'nyc', 'knick', 'fulli', 'vaccin', 'net', 'yet', 'abc', 'new', 'york', 'new', 'york', 'citi', 'new', 'yo']",6
"['florida', 'ferret', 'test', 'posit', 'start', 'sneez', 'cough']",7
"['latest', 'khorshung', 'thank', 'manipur']",8
"['case', 'updat', 'current', 'activ', 'case', 'new', 'zealand', 'border', 'comm']",9
"['doubl', 'doughnut', 'day', 'zero', 'new', 'case', 'queensland', 'author', 'launch', 'new', 'vaccin', 'campaign']",10
"['fresh', 'case', 'india', 'last', 'hour', 'lower', 'yesterday', 'death', 'sinc', 'yester']",11
"['diabet', 'tip', 'trick', 'healthi', 'diet', 'plan']",12
"['newsalert', 'india', 'report', 'new', 'case', 'last', 'hour', 'live', 'updat']",13
"['prison', 'second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit']",14
"['vaccin', 'booster', 'could', 'mean', 'billion', 'drugmak', 'follow', 'money', 'foxbusi']",15
"['u', 'still', 'worst', 'hot', 'spot', 'world']",16
"['new', 'case', 'detect', 'saturday', 'kerala', 'report', 'case', 'activ', 'case', 'rise', 'la']",17
"['greg', 'hunt', 'say', 'track', 'record', 'vaccin', 'week', 'thank']",18
"['acc', 'sourc', 'appear', 'publish', 'diseas', 'death', 'rate', 'plu', 'vaccin', 'rate', 'propaganda', 'lay']",19
"['mount', 'evid', 'suggest', 'may', 'sabotag', 'men', 'sexual', 'health']",20
"['idaho', 'morgu', 'run', 'space', 'bodi', 'death', 'mount', 'washington', 'post']",21
"['box', 'truck', 'tell', 'peopl', 'get', 'vaccin', 'actual', 'public', 'stunt', 'encourag', 'vaccin', 'ch']",22
"['come', 'citi', 'near']",23
"['therefor', 'daszak', 'intent', 'genet', 'modifi', 'coronavirus', 'ensur', 'crossov', 'bat', 'he']",24
"['zero', 'mean', 'travel', 'learn', 'live', 'quarantin', 'think', 'hard', 'wait']",25
"['interest', 'patient']",26
"['fresh', 'case', 'india', 'last', 'hour', 'lower', 'yesterday', 'death', 'sinc', 'yesterday']",27
"['dh', 'sec', 'mayorka', 'test', 'haitian', 'migrant', 'befo']",28
"['realli', 'let', 'know', 'compani', 'school', 'groceri', 'store', 'never', 'clean']",29
"['notic', 'weekli', 'nsw', 'health', 'surveil', 'report', 'figur', 'show', 'peopl', 'die']",30
"['bharat', 'biotech', 'covaxin', 'fail', 'hero', 'india', 'vaccin', 'stori', 'news']",31
"['second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit']",32
"['iowa', 'popul', 'area', 'victoria', 'australia', 'yet', 'number', 'case']",33
"['sharpest', 'tool', 'toolbox']",34
"['uk', 'record', 'new', 'case', 'death']",35
"['wonder', 'think', 'quid', 'pro', 'quo', 'anoth', 'fake', 'treatment']",36
"['australia', 'victoria', 'state', 'record', 'secondhighest', 'daili', 'rise', 'case']",37
"['case', 'tokyo', 'plummet', 'studi', 'point', 'restraint', 'unvaccin', 'japan', 'time']",38
"['sinc', 'start', 'american', 'die', 'death', 'worldwid']",39
"['plea', 'havent', 'alreadi', 'getvaccinatednow']",40
"['open', 'daili', 'sfvalley', 'featur', 'csun']",41
"['nba', 'wiggin', 'irv', 'jab', 'dilemma']",42
"['could', 'leav', 'obes', 'part', 'isnt', 'kill', 'fat', 'peopl']",43
"['polit', 'diseas', 'plea', 'pray', 'brother', 'sisterinlaw', 'bruce', 'pam', 'hospit']",44
"['kickstart', 'creator', 'cope', 'kickstart', 'crypto', 'crypto', 'news']",45
"['wan', 'na', 'know', 'say']",46
"['vaccin', 'booster', 'could', 'mean', 'billion', 'profit', 'drugmak']",47
"['elig', 'receiv', 'pfizer', 'booster', 'shot']",48
"['victoria', 'restrict', 'melbourn', 'lockdown', 'curfew', 'region', 'vic', 'rule', 'explain']",49
"['feder', 'judg', 'block', 'new', 'york', 'citi', 'vaccin', 'mandat', 'educ', 'depart', 'employe']",50
"['watch', 'malaysia', 'adult', 'popul', 'fulli', 'vaccin']",51
"['fauci', 'institut', 'creat', 'strain', 'gave', 'ccp', 'bioweapon', 'deploy', 'team']",52
"['impact', 'drone', 'servic', 'market', 'revenu', 'spike', 'drone', 'uav']",53
"['serious', 'fuck']",54
"['complet', 'agre', 'modi', 'ji', 'thali', 'bang', 'help', 'india', 'much', 'tackl', 'hard', 'wor']",55
"['find', 'amaz', 'seem', 'attack', 'politician', 'film', 'star', 'etc', 'alway', 'medium', 'rat']",56
"['activ', 'case', 'account', 'le', 'total', 'case', 'current']",57
"['there', 'someth', 'seriou', 'bodi', 'like', 'mention', 'detail', 'account', 'publicli']",58
"['gobar', 'gaomoot', 'medicin', 'erad']",59
"['doctor', 'scale', 'rocki', 'terrain', 'invok', 'god', 'vaccin', 'himalayan', 'villag']",60
"['world', 'st', 'aerosol', 'inhal', 'vaccin', 'develop', 'china', 'show', 'good', 'safeti', 'child', 'age']",61
"['research', 'paper', 'suggest', 'may', 'silent', 'spread', 'u', 'earli', 'septemb']",62
"['protest', 'israel', 'law', 'vaxx', 'mandat']",63
"['medium', 'statement', 'updat', 'septemb']",64
"['fresh', 'case', 'india', 'lower', 'yesterday']",65
"['starla', 'beckertillinghast', 'experienc', 'critic', 'care', 'nurs', 'explain', 'impact', 'critic']",66
"['unmask', 'prepar', 'whatampaposs', 'come']",67
"['two', 'dozen', 'new', 'case', 'record', 'act', 'amid', 'canberra', 'hospit', 'news']",68
"['year', 'worldwid', 'known', 'crash', 'economi', 'put', 'everyon', 'quarantin']",69
"['first', 'weekend', 'elig', 'adult', 'receiv', 'pfizer', 'booster', 'shot', 'cb', 'lo', 'angel']",70
"['vaccin', 'evid', 'wane', 'immun', 'overst', 'bmj']",71
"['idaho', 'morgu', 'run', 'space', 'bodi', 'death', 'mount', 'washington', 'post']",72
"['news', 'live', 'updat', 'macron', 'say', 'franc', 'doubl', 'shot', 'send']",73
"['princ', 'harri', 'meghan', 'markl', 'promot', 'vaccin', 'global', 'citizen', 'live']",74
"['demand', 'global', 'access', 'vaccin', 'globalcitizen']",75
"['publish', 'begin']",76
"['american', 'journal', 'therapeut', 'ivermectin', 'prevent', 'treatment']",77
"['unjust', 'irrespons', 'vaccin', 'made', 'avail', 'peopl', 'live', 'low', 'incom', 'coun']",78
"['across', 'america', 'school', 'cram', 'test']",79
"['live', 'updat', 'india', 'endem', 'stage', 'third', 'wave', 'intens', 'low', 'say', 'virologist']",80
"['tokyo', 'infect', 'drop', 'threeday', 'averag', 'pathet', 'pcr', 'test']",81
"['good', 'news', 'jampj', 'vaccin', 'cnn']",82
"['despit', 'titl', 'articl', 'realli', 'made', 'feel', 'hope', 'covidau']",83
"['second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit']",84
"['covidnsw', 'made', 'mem']",85
"['see', 'hope', 'could', 'say', 'littl', 'prayer', 'got', 'diagnos', 'scare']",86
"['donald', 'trump', 'said', 'pretti', 'much', 'opposit', 'dr', 'fauci', 'advis']",87
"['studi', 'suggest', 'hospit', 'overcount', 'number', 'child', 'hospit', 'heatmap', 'col', 'gt']",88
"['deni', 'vermin', 'medic', 'treatment', 'care', 'second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit']",89
"['canadian', 'studi', 'turn', 'wrong', 'spread', 'like', 'wildfir', 'among', 'antivaxx', 'cbc', 'news']",90
"['second', 'melbourn', 'antilockdown', 'protest', 'test', 'posit', 'abc', 'news']",91
"['latest', 'link', 'local', 'dupag', 'daili', 'thank', 'smartnew']",92
"['news', 'ferret', 'florida', 'test', 'posit', 'kiro', 'ncov']",93
"['famili', 'health', 'center', 'inc', 'offer', 'free', 'mobil', 'test']",94
"['countri', 'suicid', 'among', 'femal', 'increas', 'wear']",95
"['india', 'log', 'fresh', 'case', 'death', 'last', 'hr', 'death', 'toll', 'climb', 'daili', 'fat']",96
