text,index
['peru'],0
"['companynew', 'air', 'new', 'zealand', 'requir', 'vaccin', 'intern', 'travel']",1
"['aveng', 'hero', 'support', 'mandatori', 'vaccin', 'wear', 'mask', 'stop']",2
"['peru', 'vacunacion']",3
['peru'],4
"['india', 'record', 'new', 'case', 'lower', 'yesterday', 'coronavirusupd', 'health']",5
['peru'],6
['peru'],7
"['plea', 'also', 'pray', 'revis', 'version', 'oratio', 'imperata']",8
"['dr', 'richard', 'fleme', 'expo', 'what', 'realli', 'happen', 'vaccin', 'induc', 'ade']",9
"['doctor', 'urg', 'albertan', 'demand', 'govern', 'releas', 'model']",10
"['morefear', 'open', 'smartnew', 'read', 'yearold', 'woman', 'surviv', 'flu', 'kill', 'mill']",11
"['icymi', 'vitamin', 'insuffici', 'may', 'account', 'almost', 'nine', 'ten', 'death', 'time', 'act', 'comment']",12
"['northern', 'cape', 'statist', 'octob', 'depart', 'health', 'announc', 'addit', 'peopl']",13
"['northeast', 'nsw', 'activ', 'delta', 'variant', 'case', 'expect', 'week', 'thank', 'heap', 'glad']",14
"['joe', 'biden', 'issu', 'statement', 'mark', 'death', 'goe', 'golf']",15
"['india', 'sunday', 'report', 'new', 'case', 'recoveri', 'death', 'last', 'hour']",16
"['find', 'vaccin', 'usa', 'vaccin', 'incent', 'find', 'vaccin', 'near']",17
"['two', 'case', 'waikato']",18
"['yearold', 'woman', 'surviv', 'flu', 'kill', 'million', 'peopl', 'worldwid', 'die']",19
"['hard', 'understand', 'peopl', 'okay', 'take', 'monoclon', 'antibodi', 'wont', 'take', 'vaccin']",20
"['talk', 'knew', 'month', 'websit', 'wa']",21
"['unitefightcorona', 'largestvaccinedr', 'india', 'cumul', 'vaccin', 'coverag', 'cross', 'landmark']",22
"['scari', 'dream', 'happen']",23
"['combat', 'shouldnt', 'neglect', 'adher', 'hivaid', 'prevent', 'method', 'regist', 'particip']",24
"['hundr', 'peopl', 'plung', 'water', 'manila', 'bay', 'amid', 'diseas', 'sunday']",25
"['india', 'report', 'new', 'case', 'death', 'last', 'hour']",26
"['death', 'eclips', 'u', 'delta', 'variant', 'rage', 'wkrc', 'tv', 'cincinnati']",27
