text,index
"['shop', 'worker', 'like', 'catch', 'last', 'two', 'wave']",0
"['surpris', 'isnt', 'trend', 'yet', 'suprem', 'court', 'justic', 'kavanaugh', 'test', 'posit', 'start', 'look', 'like']",1
"['get', 'closer', 'beat', 'togeth', 'aseana', 'citi', 'estat', 'personnel', 'fulli', 'vaccin']",2
"['everyth', 'decid', 'u', 'saskatoon', 'long', 'term', 'care', 'resid', 'describ', 'inhuman', 'hardship', 'lockd']",3
"['death', 'russia', 'hit', 'record', 'friday', 'fourth', 'straight', 'day', 'confirm', 'case', 'continu']",4
"['new', 'hampshir', 'townbytown', 'case']",5
"['merck', 'co', 'push', 'approv', 'pill', 'molnupiravir', 'previous', 'drug', 'declin', 'declar']",6
"['petit', 'referendum', 'unit', 'kingdom', 'abolish', 'act']",7
"['corrupt', 'congress', 'herd', 'immun', 'vaccin', 'that', 'march', 'septemb', 'bipartisan', 'ove']",8
"['american', 'die', 'sinc', 'presid', 'joe', 'biden', 'took', 'offic']",9
"['australian', 'golf', 'great', 'greg', 'norman', 'hospit', 'symptom']",10
"['clear', 'cathol', 'claim', 'faithbas', 'exempt', 'vaccin', 'dont', 'follow', 'pope', 'franci']",11
"['dr', 'bryan', 'ardi', 'hospit', 'protocol', 'turn', 'hospit', 'modernday', 'ga', 'chamber']",12
"['heart', 'inflamm', 'rate', 'higher', 'moderna', 'shot', 'pfizer', 'vaccin', 'canada', 'data']",13
"['togeth', 'defeat']",14
"['reopen', 'mask', 'mask', 'reopen', 'mauritiu']",15
"['india', 'record', 'new', 'case', 'lower', 'yesterday']",16
"['im', 'strong', 'opinion', 'gladysberejiklian', 'advis', 'expert', 'number', 'explod']",17
"['global', 'death', 'hit', 'million', 'delta', 'variant', 'sweep', 'world', 'internationalnew']",18
"['case', 'updat', 'current', 'activ', 'case', 'new', 'zealand', 'border', 'comm']",19
"['get', 'better', 'airborn', 'transmiss', 'new', 'york', 'time']",20
"['merck', 'say', 'new', 'experiment', 'pill', 'cut', 'risk', 'death', 'hospit', 'half']",21
"['updat', 'figur', 'show', 'state', 'biggest', 'jump', 'hospit', 'rate', 'pa']",22
"['hospit', 'face', 'backlog', 'patient', 'delay', 'care', 'american']",23
"['u', 'reach', 'death', 'thank', 'presid', 'trump', 'may', 'caus']",24
"['break', 'u', 'hit', 'new', 'mileston', 'american', 'dead', 'u', 'lead', 'world', 'de']",25
"['fda', 'weigh', 'dose', 'moderna', 'booster', 'wall', 'street', 'journal']",26
"['warren', 'counti', 'urg', 'vaccin', 'local', 'man', 'die']",27
"['u', 'surpass', 'coronavirusrel', 'death', 'friday', 'accord', 'reuter', 'talli', 'offici', 'roll', 'boo']",28
"['masker', 'chin', 'diaper', 'wearer', 'anyon', 'realli', 'surpris', 'still', 'kill', 'thousa']",29
"['india', 'log', 'new', 'case', 'death']",30
"['oversight', 'account', 'fund', 'use', 'pet', 'project', 'relief']",31
"['california', 'requir', 'student', 'get', 'vaccin', 'get', 'full', 'fda', 'approv']",32
"['incred', 'good', 'news', 'add', 'pfizer', 'drug', 'phase', 'iii', 'trial', 'may']",33
"['two', 'go', 'kill', 'bill', 'congress', 'vaccinepassport']",34
"['merck', 'antivir', 'pill', 'could', 'chang', 'game']",35
"['sarscov', 'love', 'virus', 'dont', 'care', 'replic', 'infect', 'twatwaffl']",36
"['pharmaceut', 'compani', 'merck', 'say', 'pill', 'cut', 'risk', 'death', 'half']",37
"['australia', 'western', 'australia', 'close', 'christma', 'prime', 'minist', 'refus', 'open', 'border']",38
"['u', 'reach', 'death', 'delta', 'variant', 'hit', 'unvaccin', 'nation']",39
"['mit', 'train', 'engineerexecut', 'director', 'earli', 'treatment', 'fund', 'testifi']",40
"['updat', 'unit', 'state', 'total', 'case', 'new', 'case', 'case', 'last', 'day']",41
"['san', 'jose', 'turn', 'park', 'meter', 'back', 'first', 'time', 'sinc', 'silicon', 'valley', 'busi', 'journal', 'sil']",42
"['pill', 'could', 'soon', 'fill', 'gap', 'respons', 'vaccin', 'cant', 'overcom']",43
"['sigh', 'peopl', 'stupid', 'ivermectin', 'antiparasit', 'antivir', 'drug', 'viru']",44
"['vaccin', 'new', 'zealand', 'googl', 'question', 'answer']",45
"['mi', 'waa', 'gwaan', 'like', 'dat', 'likkl', 'girl', 'inna', 'di', 'video', 'gvnman', 'shift', 'play', 'parti']",46
"['unit', 'state', 'case', 'counti', 'john', 'hopkin', 'univers']",47
"['look', 'infograph', 'coverup']",48
"['insan', 'pfizer', 'stand', 'accus', 'experi', 'month', 'old', 'orphan', 'babi', 'test', 'vaccin']",49
"['ten', 'day', 'quarantin', 'uk', 'travel', 'india', 'irrespect', 'vaccin', 'statu', 'came', 'af']",50
"['research', 'associ', 'excess', 'bodi', 'weight', 'mortal', 'busi']",51
