text,index
"['doubl', 'jab', 'vaccin', 'youll', 'go', 'rhythm', 'declin']",67
"['australia', 'access', 'addit', 'treatment', 'follow', 'morrison', 'govt', 'deal', 'purchas']",68
"['isnt', 'end', 'anytim', 'soon']",69
"['live', 'case', 'uae', 'across', 'world']",70
"['citi', 'fontana', 'updat', 'weed', 'abat', 'inspect', 'updat', 'employ', 'opportun']",71
"['near', 'updat', 'latest', 'info', 'oct', 'pm', 'new', 'locat', 'subway', 'cessnock', 'sport']",72
"['two', 'men', 'march', 'protest', 'new', 'york', 'state', 'vaccin', 'mandat', 'flip', 'test', 'site', 'tent']",73
"['latest', 'link', 'local', 'dupag', 'daili', 'thank', 'smartnew']",74
"['treasur', 'josh', 'frydenberg', 'isol', 'caution', 'case', 'melbourn', 'offic']",75
"['plan', 'includ', 'misus', 'million', 'feder', 'relief', 'money', 'would', 'simpli', 'build', 'bigger']",76
"['uttarpradesh', 'becom', 'first', 'state', 'administ', 'crore', 'dose', 'vaccin']",77
"['break', 'polic', 'say', 'year', 'old', 'man', 'summon', 'appear', 'court', 'charg', 'breach', 'hea']",78
"['uttarpradesh', 'monday', 'becam', 'first', 'state', 'administ', 'crore', 'vaccin', 'india']",79
"['australia', 'vaccin', 'covidv', 'covidnsw']",80
"['bc', 'northern', 'health', 'author', 'launch', 'onlin', 'book', 'system', 'test', 'case', 'count', 'reg']",81
"['case', 'detect', 'monday', 'kerala', 'report', 'case', 'activ', 'case', 'come', 'lak']",82
"['suprem', 'court', 'approv', 'r', 'compens', 'victim']",83
"['doubl', 'vaccin', 'emmi', 'winner', 'die', 'two', 'week', 'attend', 'award', 'ceremoni', 'unmask', 'celebr']",84
"['doubl', 'vaccin', 'emmi', 'winner', 'die', 'two', 'week', 'attend', 'award', 'ceremoni', 'unmask', 'celebr']",85
"['report', 'th', 'octob', 'new', 'posit', 'case', 'year', 'quarantin', 'local', 'contact']",86
"['know', 'coadministr', 'flu', 'vaccin']",87
"['work', 'safe', 'bc', 'british', 'columbia', 'establish', 'vaccin', 'requir', 'worker', 'emp']",88
"['annual', 'report', 'despit', 'mani', 'challeng', 'pose', 'discov', 'exp']",89
"['current', 'vaccin', 'effect', 'thousand', 'breakthrough', 'infect', 'fulli', 'covidv']",90
"['read', 'new', 'ope', 'irrevers', 'mani', 'effect', 'perman', 'evid', 'show', 'may', 'caus', 'extr']",91
"['must', 'elimin', 'becom', 'endem', 'america', 'surviv']",92
"['vaccin', 'get', 'dose', 'answer']",93
"['chine', 'communist', 'parti', 'creat', 'releas', 'china', 'fact', 'lockdown', 'caus', 'harm', 'good', 'fa']",94
"['fundrais', 'ben', 'prueter', 'byron', 'rick', 'support', 'fund']",95
"['india', 'record', 'fresh', 'infect', 'lowest', 'month']",96
"['global', 'caseload', 'top', 'mn', 'covidpandem']",97
"['doctor', 'grow', 'frustrat', 'denial', 'misinform']",98
"['odisha', 'report', 'new', 'case', 'last', 'hour', 'year', 'new', 'recoveri', 'cumulat']",99
"['commun', 'partner', 'vaccin', 'readi']",100
"['wish', 'rich', 'bitcoin', 'rich', 'btc', 'eth']",101
"['new', 'mexico', 'depart', 'health', 'report', 'new', 'case', 'relat']",102
"['make', 'case', 'line', 'booster', 'shot', 'profit', 'covidvaccin', 'boostershot']",103
"['india', 'report', 'new', 'case', 'lowest', 'day']",104
"['former', 'fda', 'commission', 'say', 'vaccin', 'includ', 'childhood', 'immun', 'schedul', 'inevit', 'th']",105
"['got', 'blue', 'noth', 'ever', 'hard', 'u', 'face', 'denial', 'easier']",106
"['back', 'black', 'u', 'suprem', 'court', 'return', 'telework']",107
"['new', 'zealand', 'said', 'start', 'use', 'vaccin', 'certif', 'proof', 'inocul', 'larg', 'event']",108
"['doubl', 'vaccin', 'emmi', 'winner', 'die', 'two', 'week', 'attend', 'award', 'ceremoni', 'unmask', 'celebr']",109
"['thought', 'loss', 'life', 'downsid', 'widespread', 'infect', 'tragedi', 'might']",110
"['vaccin', 'two', 'dose', 'pfizer', 'shot', 'stay', 'highli', 'effect', 'sever', 'includ', 'delta']",111
