case,15046
new,13065
death,11780
trump,10515
test,10325
peopl,9635
news,8188
say,7349
fight,6706
help,6424
die,6146
get,5938
lockdown,5926
time,5907
china,5845
nt,5777
spread,5469
updat,5427
world,5359
day,5080
patient,4978
home,4946
crisi,4921
posit,4877
go,4837
coronaviruspandem,4767
like,4734
report,4730
live,4641
mask,4517
need,4409
health,4350
state,4276
use,4121
respons,4105
take,4033
stay,3939
plea,3848
make,3841
know,3725
confirm,3656
total,3655
hospit,3609
uk,3394
countri,3306
daili,3287
work,3286
latest,3254
govern,3241
see,3195
amid,3182
could,3158
india,3135
thank,3123
number,2975
stop,2911
first,2903
think,2895
doctor,2889
come,2850
today,2843
week,2837
may,2816
vaccin,2785
york,2776
face,2767
show,2762
call,2742
infect,2615
care,2600
let,2558
american,2510
april,2471
would,2471
even,2466
good,2415
want,2408
worker,2407
mani,2385
medic,2344
nation,2320
busi,2290
year,2289
global,2268
way,2263
kill,2263
protect,2242
toll,2239
still,2229
donat,2155
watch,2152
look,2143
support,2098
recov,2098
caus,2055
keep,2054
warn,2053
quarantin,2034
thing,2012
read,2010
treatment,1956
th,1953
give,1943
sign,1941
data,1940
million,1925
video,1921
symptom,1884
plan,1875
post,1872
two,1871
back,1846
start,1839
nurs,1832
hope,1827
rate,1816
impact,1796
right,1793
pm,1784
famili,1781
presid,1775
drug,1774
end,1761
share,1754
social,1742
said,1727
wear,1724
top,1698
safe,1685
realli,1674
break,1672
fund,1662
sinc,1653
citi,1637
got,1631
relief,1631
dr,1631
chang,1629
re,1622
rise,1614
counti,1601
offici,1594
bill,1590
great,1572
forc,1549
bbc,1543
tell,1538
order,1533
commun,1533
hit,1523
last,1517
person,1514
risk,1512
public,1502
tri,1497
the,1494
link,1492
man,1491
america,1488
must,1486
cure,1480
life,1473
everyon,1453
also,1441
free,1439
diseas,1422
itali,1419
human,1415
check,1414
stori,1402
hous,1390
treat,1382
record,1379
fear,1376
well,1373
ask,1362
africa,1358
talk,1357
close,1348
anoth,1346
save,1334
everi,1323
unit,1322
releas,1316
expert,1307
old,1304
brief,1298
ventil,1290
stayhom,1287
hour,1283
travel,1280
job,1276
real,1262
find,1262
distanc,1258
market,1257
south,1257
claim,1256
effect,1251
made,1246
alreadi,1240
medium,1228
emerg,1225
much,1218
war,1216
best,1213
chine,1209
app,1208
month,1200
god,1193
prevent,1192
follow,1188
continu,1185
around,1183
ca,1181
spain,1179
love,1179
research,1175
inform,1174
put,1168
cdc,1163
gt,1162
usa,1160
nh,1160
scientist,1150
increas,1150
next,1149
govt,1144
food,1138
fox,1132
affect,1131
pas,1131
question,1120
covidpandem,1119
isol,1109
provid,1109
believ,1107
import,1103
fuck,1100
announc,1095
never,1087
woman,1085
part,1082
feel,1081
saturday,1075
battl,1070
recommend,1063
open,1062
leader,1061
place,1059
happen,1055
away,1054
victim,1049
ve,1047
lot,1047
lie,1043
governor,1041
issu,1026
hand,1021
yet,1018
socialdistanc,1012
join,1010
bring,1010
insid,1009
slow,1004
stayathom,997
reveal,995
togeth,990
listen,981
includ,981
conspiraci,981
possibl,977
economi,977
mean,973
anyon,971
flu,968
prison,966
nigeria,961
resid,955
friend,953
fire,948
suppli,941
turn,937
worldwid,933
hold,932
develop,924
deal,922
line,921
pay,921
set,916
current,916
measur,915
leav,914
thought,910
na,909
cover,908
immun,906
polic,904
offer,903
earli,902
servic,902
found,900
learn,897
canada,896
long,894
staff,893
child,892
situat,890
without,888
someon,883
big,878
novel,878
ship,873
might,872
lead,872
econom,870
le,870
cancer,869
task,867
far,866
fact,864
sure,864
onlin,863
play,862
urg,861
despit,856
danger,854
white,853
indian,853
across,852
effort,852
track,851
better,848
pink,848
wait,848
creat,844
washington,839
articl,836
bank,835
money,827
gener,817
relat,816
team,814
run,813
becom,808
de,807
healthcar,806
dead,803
nyc,801
handl,794
minist,794
miss,792
local,790
donald,788
block,787
studi,785
differ,783
among,782
press,780
polit,776
bad,775
prepar,775
other,775
offic,774
high,772
control,771
system,770
to,770
compani,765
stayhomesavel,762
member,760
threat,760
theori,758
kushner,757
march,756
done,756
challeng,755
blame,749
interest,749
three,749
cancel,746
messag,744
light,744
surg,742
reach,741
gate,741
surviv,732
move,731
actual,731
hero,730
administr,729
group,727
african,725
fake,725
hard,724
second,724
result,723
potenti,723
rememb,720
shit,719
name,719
aid,718
small,715
feder,711
gov,711
ago,710
cut,709
failur,709
tip,707
california,707
critic,705
concern,704
hydroxychloroquin,703
combat,701
democrat,699
air,698
ye,697
deadli,696
store,694
age,694
attack,694
rage,694
expo,691
step,690
el,689
model,689
lost,689
least,687
guy,685
mayb,684
lab,682
contract,682
ignor,677
wrong,675
denial,672
florida,668
cuomo,668
school,667
worri,666
jare,664
wors,662
explain,661
point,661
product,661
manag,661
pakistan,661
franc,659
soon,655
matt,653
univers,652
in,651
parti,648
worst,648
act,647
allow,647
noth,644
head,643
advic,643
enough,643
student,642
meet,641
sick,638
ppe,638
full,637
fall,637
launch,636
indiafightscorona,635
whole,634
activ,634
told,633
beat,632
australia,632
someth,631
la,630
low,630
demand,630
hancock,630
seriou,629
epidem,628
cnn,628
contact,627
neg,625
wonder,624
area,623
minut,622
recoveri,621
sever,621
scienc,620
st,619
thousand,613
petit,613
send,612
fauci,611
rais,611
employe,610
per,610
answer,608
lifesav,606
discus,606
understand,605
ill,603
frontlin,599
tweet,599
kid,599
hi,597
bu,597
ever,596
true,594
coronavirusoutbreak,593
iran,591
essenti,590
un,589
hoax,588
hear,588
mourn,585
and,585
modi,585
dysfunct,585
alarm,581
coronavirusupd,579
stand,578
everyth,574
approv,573
french,573
coronalockdown,571
count,570
shut,570
contain,569
took,568
reason,567
googl,566
center,566
problem,565
author,565
limit,565
ny,564
list,564
denni,564
night,563
wo,562
advis,561
expect,561
respond,560
final,558
london,558
centr,558
suggest,557
resourc,556
seem,554
it,554
industri,553
financi,552
download,552
rule,552
action,551
sourc,550
normal,548
serious,548
sir,548
five,548
bodi,546
left,542
yearold,541
identifi,541
biggest,540
begin,540
curv,538
shop,537
front,537
past,536
law,536
trial,536
season,535
came,534
win,533
readi,532
stupid,531
major,529
suffer,528
weekend,526
we,524
germani,524
staysaf,523
visit,522
littl,521
europ,521
accus,520
given,519
catch,517
cough,516
custom,515
predict,515
push,515
republican,515
event,514
power,513
project,513
morn,513
futur,512
oh,511
accord,510
special,510
flight,510
return,508
initi,508
kit,507
game,507
gon,506
johnson,505
map,504
amazon,504
delay,504
drop,504
leadership,501
ll,500
idea,500
driver,498
ban,498
lose,497
anim,497
grow,497
citizen,496
restrict,496
program,494
truth,494
extend,493
pray,492
fail,488
icu,488
church,486
black,486
street,486
polici,486
peak,486
music,485
dear,485
wash,484
deliv,483
rt,482
mental,481
surfac,480
alway,475
ad,475
billion,475
intern,470
flatten,470
smartnew,470
singl,469
blood,469
yesterday,467
sent,466
of,466
setu,465
histori,465
joke,463
militari,460
behind,458
struggl,458
complet,457
aarogya,456
seek,456
publish,455
highest,455
jump,455
avoid,454
popul,453
word,453
secur,452
remain,452
mass,452
role,450
except,449
cross,447
ahead,446
co,444
fatal,444
anyth,444
buy,443
date,442
friday,441
nearli,441
ministri,441
chief,440
medicin,440
equip,440
japan,439
sport,438
educ,438
healthi,438
groceri,437
wish,436
evid,435
seen,435
digit,432
taken,432
babi,432
bc,432
letter,431
captain,431
stimulu,430
mast,430
opinion,429
elect,429
packag,429
twitter,428
common,428
antibodi,428
avail,427
clear,426
korea,425
consid,423
sad,422
queen,422
hey,421
recent,421
awar,420
origin,419
phone,419
thi,418
muslim,418
oper,418
plagu,418
key,417
surpass,416
john,416
poor,416
experi,416
german,416
tv,414
delhi,414
lack,413
nigerian,413
regard,412
bori,412
knew,412
song,412
young,411
address,411
almost,411
celebr,409
cruis,408
navi,407
tackl,407
campaign,407
six,407
figur,407
sunday,406
lo,405
stayathomeandstaysaf,405
sound,405
facil,404
probabl,404
wake,404
account,404
build,403
cost,402
vote,402
guidanc,402
speak,401
strategi,401
depart,401
network,400
russia,400
thread,399
contribut,397
safeti,397
technolog,397
panic,397
receiv,397
natur,394
cope,394
apr,394
lock,393
compar,392
cell,392
agre,392
shutdown,392
jail,391
stock,391
virus,390
clinic,390
race,389
idiot,389
sarscov,387
outsid,386
mark,385
foxnew,385
son,384
jamaat,384
paid,383
reduc,383
selfisol,382
four,382
mind,382
kind,382
abl,381
threaten,380
charg,380
spend,380
ai,380
though,378
fals,378
deni,377
confer,376
trend,376
wuhanviru,376
organ,375
passeng,375
is,375
tablighi,375
cours,373
base,373
collect,372
success,372
vulner,372
remind,372
defeat,372
alert,371
an,370
mobil,370
volunt,370
scare,369
inmat,368
went,368
reuter,368
youtub,368
opportun,367
georgia,366
near,366
halt,366
eat,366
brazil,365
dog,365
heard,365
design,364
suspect,364
heart,364
moment,363
android,363
connect,363
australian,362
clean,362
happi,361
approach,361
border,361
park,361
practic,360
host,360
walmart,360
suspend,359
island,359
rapid,358
absolut,358
prayer,358
prime,357
within,357
chanc,356
condit,356
hot,356
biden,355
info,355
ceo,355
arrest,355
disast,354
be,353
obama,353
note,353
instead,353
exclus,353
walk,353
detail,352
matter,351
quarantinelif,350
breath,350
decis,349
request,349
site,348
access,348
trust,348
osun,347
forget,347
talli,347
investig,346
shortag,346
one,345
britain,345
transmiss,344
on,344
