case,15267
new,11613
test,11110
death,9629
trump,9080
peopl,9028
news,7950
say,6857
help,6713
crisi,6109
get,6106
spread,6077
fight,5986
die,5771
updat,5683
time,5667
health,5585
nt,5555
respons,5446
world,5344
lockdown,5134
day,5045
china,4963
need,4677
report,4671
home,4548
like,4503
live,4487
million,4455
posit,4406
go,4391
patient,4220
amid,4202
take,4098
state,4052
use,3924
hospit,3921
work,3892
confirm,3882
govern,3687
make,3648
stay,3617
know,3590
could,3535
global,3417
busi,3340
uk,3335
latest,3277
first,3260
number,3249
call,3195
today,3071
infect,3041
countri,3029
plea,3004
covidpandem,3003
mask,2945
total,2943
thank,2931
india,2917
april,2906
see,2875
worker,2874
doctor,2865
may,2779
impact,2766
daili,2755
keep,2728
week,2697
support,2692
face,2643
mani,2589
show,2517
want,2498
even,2488
let,2443
think,2414
nation,2401
protect,2378
stop,2362
hous,2333
american,2326
come,2324
care,2287
still,2267
toll,2234
hit,2232
way,2218
look,2206
would,2199
donat,2153
vaccin,2153
medic,2137
break,2135
good,2098
top,2097
coronaviruspandem,2050
back,2037
quarantin,2035
sign,2026
relief,2013
chang,1993
watch,1993
kill,1980
provid,1979
check,1973
free,1964
read,1960
public,1955
presid,1955
symptom,1936
thing,1934
share,1934
order,1934
right,1931
pm,1930
social,1919
counti,1912
start,1870
safe,1855
end,1851
commun,1848
th,1835
tell,1832
expert,1789
last,1782
two,1770
great,1766
give,1758
announc,1755
forc,1754
video,1749
got,1741
talk,1740
famili,1739
warn,1733
dr,1725
citi,1724
brief,1722
york,1721
offer,1701
post,1690
hope,1684
emerg,1683
find,1666
re,1666
year,1647
data,1642
job,1641
nh,1623
fund,1601
inform,1591
month,1591
offici,1590
said,1571
risk,1564
person,1557
realli,1556
medium,1545
claim,1543
staff,1533
recov,1531
releas,1530
ask,1527
worldwid,1527
continu,1510
plan,1505
everyon,1504
caus,1502
rise,1501
learn,1495
close,1487
man,1483
tri,1477
governor,1457
question,1454
must,1452
affect,1444
compani,1429
nurs,1423
join,1421
govt,1405
white,1404
also,1403
pas,1386
chine,1374
america,1372
market,1366
the,1366
record,1365
navi,1360
research,1359
bbc,1357
life,1357
stori,1351
put,1327
everi,1318
servic,1317
anoth,1296
around,1291
issu,1289
itali,1278
bill,1262
save,1262
well,1262
increas,1252
suppli,1250
rate,1248
much,1240
human,1238
food,1236
ca,1231
diseas,1228
fear,1219
develop,1213
concern,1205
ve,1201
minist,1197
made,1196
effect,1195
prevent,1190
pay,1184
creat,1180
hand,1177
gov,1176
follow,1175
measur,1175
threat,1174
sinc,1173
ventil,1171
away,1168
onlin,1168
distanc,1147
polic,1142
rais,1142
part,1141
frontlin,1140
stayhom,1139
treatment,1138
team,1134
war,1129
real,1125
isol,1125
cancel,1124
local,1123
launch,1123
import,1112
best,1108
south,1105
open,1104
dead,1102
app,1091
believ,1091
carrier,1089
link,1088
current,1083
