"","V1","ave_sentiment"
"1","['dr', 'richard', 'fleme', 'expo', 'what', 'realli', 'happen', 'vaccin', 'induc', 'ade']",-0.192428094176946
"2","['doctor', 'urg', 'albertan', 'demand', 'govern', 'releas', 'model']",-0.333333333333333
"3","['morefear', 'open', 'smartnew', 'read', 'yearold', 'woman', 'surviv', 'flu', 'kill', 'mill']",-0.2125
"4","['icymi', 'vitamin', 'insuffici', 'may', 'account', 'almost', 'nine', 'ten', 'death', 'time', 'act', 'comment']",-0.121267812518166
"5","['joe', 'biden', 'issu', 'statement', 'mark', 'death', 'goe', 'golf']",-0.316227766016838
"6","['yearold', 'woman', 'surviv', 'flu', 'kill', 'million', 'peopl', 'worldwid', 'die']",-0.3375
"7","['scari', 'dream', 'happen']",-0.0693375245281536
"8","['hundr', 'peopl', 'plung', 'water', 'manila', 'bay', 'amid', 'diseas', 'sunday']",-0.471404520791032
"9","['jetblu', 'cancel', 'flight', 'reschedul', 'flight', 'pas', 'test']",-0.193649167310371
"10","['shut', 'u', 'get', 'use', 'soul', 'lost', 'offici', 'fulli', 'vaccin']",-0.2675
"11","['ccp', 'releas', 'novel', 'bioweapon', 'world', 'dark', 'forc', 'ha']",-0.117851130197758
"12","['hospit', 'philippin', 'struggl', 'influx', 'patient']",-0.316227766016838
"13","['shouldnt', 'solv', 'u', 'didnt', 'joe', 'biden', 'didnt', 'gone', 'deceas']",-0.206559111797729
"14","['chang', 'everyon', 'look', 'home']",-0.288675134594813
"15","['australia', 'delta', 'spread', 'new', 'state', 'australia', 'delta', 'spread', 'state']",-0.21380899352994
"16","['chang', 'peopl', 'interact', 'onlin', 'class', 'home', 'deliveri', 'food']",-0.0894427190999916
"17","['anyon', 'still', 'talk', 'delta', 'variant', 'exampl', 'bec']",-0.134164078649987
"18","['yearold', 'girl', 'die', 'day', 'vaccin', 'yearold', 'girl', 'die']",-0.322748612183951
"19","['everyth', 'old', 'new', 'peopl', 'seem', 'shock', 'holocaust', 'analog', 'co']",-0.390006747579955
"20","['merck', 'say', 'experiment', 'pill', 'cut', 'worst', 'effect']",-0.333333333333333
"21","['earli', 'fourth', 'wave', 'infect', 'thousand', 'avoid', 'death', 'possibl', 'spend', 'fest']",-0.235702260395516
"22","['spiritualsunday', 'medit', 'help', 'manag', 'stress', 'anxieti', 'seriou', 'situat']",-0.176776695296637
"23","['harlan', 'counti', 'lost', 'two', 'school', 'employe', 'two', 'day', 'last', 'week']",-0.208012573584461
"24","['link', 'unnecessari', 'death', 'vaccin', 'cdcchang']",-0.633173823613304
"25","['dick', 'farrel', 'plead', 'friend', 'get', 'vaccin', 'die', 'complic']",-0.507796359633606
"26","['today', 'book', 'uncontrol', 'spread', 'crush', 'u', 'defeat', 'next', 'scott', 'gottlieb']",-0.718891894206323
"27","['new', 'york', 'wont', 'extend', 'unemploy', 'benefit', 'healthcar', 'worker', 'fire', 'vaccin', 'mandat', 'healthcar']",-0.568037557443755
"28","['wearamask', 'getvaccin', 'darkmoney', 'kochback', 'group', 'fuel', 'opposit', 'school', 'mask', 'mandat', 'leak']",-0.208012573584461
"29","['joe', 'biden', 'issu', 'statement', 'mark', 'death', 'goe', 'golf']",-0.316227766016838
"30","['msn', 'like', 'usa', 'death', 'unfortun', 'famili', 'moth']",-0.286769667338202
"31","['isol', 'lack', 'train', 'stigma', 'advers', 'pile', 'south', 'african', 'soccer', 'team', 'japan', 'time']",-0.545705156331749
"32","['break', 'pfizer', 'stand', 'accus', 'experi', 'orphan', 'babi', 'test', 'vaccin']",-0.427617987059879
"33","['earli', 'fourth', 'wave', 'infect', 'thousand', 'avoid', 'death', 'possibl', 'spend', 'fest']",-0.235702260395516
"34","['vaccin', 'microphon', 'still', 'becom', 'infect', 'spread', 'unvaccin', 'microphon']",-0.21650635094611
"35","['canada', 'medicaldevic', 'regulatori', 'daili', 'stori', 'vaccin']",-0.0883883476483184
"36","['stock', 'market', 'tax', 'trump', 'stimulu', 'barron', 'potu', 'trump']",-0.0577350269189626
"37","['exclus', 'summari', 'vaccin', 'concern', 'usupd', 'septum', 'studi', 'pfizer', 'mod']",-0.101036297108185
"38","['joe', 'rogan', 'think', 'biden', 'fake', 'booster', 'shot', 'live', 'tv']",-0.332820117735138
"39","['joebiden', 'issu', 'statement', 'mark', 'death', 'goe', 'golf']",-0.333333333333333
"40","['kareem', 'abduljabbar', 'nba', 'player', 'refus', 'vaccin', 'live', 'stake']",-0.144337567297406
"41","['doctor', 'urg', 'albertan', 'demand', 'govern', 'releas', 'model']",-0.333333333333333
"42","['nrl', 'grand', 'final', 'annastacia', 'palaszczuk', 'issu', 'stern', 'warn', 'updat']",-0.527644853011086
"43","['thousand', 'protest', 'health', 'pas', 'across']",-0.176776695296637
"44","['cross', 'cancer', 'institut', 'hospit', 'noth']",-0.542720420239975
"45","['vaccin', 'kill', 'peopl']",-0.335410196624968
"46","['amount', 'loss', 'seen', 'health', 'profession', 'becom', 'desensit', 'join', 'breakout', 'sess']",-0.117851130197758
"47","['ccp', 'releas', 'novel', 'bioweapon', 'world', 'dark', 'forc', 'ha']",-0.117851130197758
"48","['news', 'overwhelm', 'aborigin', 'town', 'australia', 'independ']",-0.166410058867569
"49","['biden', 'reiter', 'need', 'vaccin', 'death', 'toll', 'u', 'top']",-0.396610640301039
"50","['escap', 'lab', 'way', 'earlier']",-0.176776695296637
"51","['vaccin', 'wear', 'dont', 'protect', 'variant', 'sure', 'booster', 'origin', 'would', 'help']",-0.266500895444513
"52","['call', 'everi', 'name', 'mama', 'daddi', 'side', 'famili', 'die', 'probabl', 'idjit']",-0.109108945117996
"53","['gambl', 'health', 'shot', 'million', 'buck', 'auspol', 'vaccin']",-0.180277563773199
"54","['sick', 'sadist', 'world', 'fight', 'amid', 'u', 'sanction', 'gooblog']",-0.553398590529466
"55","['news', 'protest', 'romania', 'reject', 'restrict']",-0.45
"56","['tkp', 'global', 'death', 'hit', 'million', 'delta', 'variant', 'sweep', 'world', 'delta', 'variant', 'domin']",-0.0229415733870562
"57","['mindanao', 'examin', 'region', 'newspap', 'enough', 'vaccin']",-0.0833333333333333
"58","['punt', 'polit', 'failur', 'health', 'system', 'stewardship', 'evid', 'respons', 'brazil']",-0.412478955692153
"59","['jampk', 'first', 'dose', 'vaccin', 'mandatori', 'visit', 'mall', 'govt', 'offic', 'restaur', 'public', 'transport', 'know']",-0.0485071250072666
"60","['su', 'influenc', 'misinform', 'turn', 'caus', 'wrong', 'relat', 'death']",-0.45
"61","['break', 'pfizer', 'stand', 'accus', 'experi', 'orphan', 'babi', 'test', 'vaccin', 'expo']",-0.5
"62","['absolut', 'hate', 'smell', 'tast', 'bright', 'sude', 'result', 'came', 'neg', 'today']",-0.143910483540037
"63","['oiler', 'duncan', 'keith', 'frustrat', 'get', 'vaccin']",-0.237170824512628
"64","['common', 'speaker', 'accus', 'govern', 'contempt', 'parliament', 'power', 'video']",-0.505181485540923
"65","['accord', 'statist', 'canada', 'excess', 'death', 'stop']",-0.205548047910945
"66","['nearli', 'marin', 'declin', 'vaccin', 'cnnpolit']",-0.212132034355964
"67","['day', 'somebodi', 'solv', 'myth', 'antigen', 'test', 'shut']",-0.0938314863256836
"68","['safer', 'feder', 'workforc', 'task', 'forc', 'issu', 'guidanc', 'feder', 'contractor', 'protocol']",-0.37442263245203
"69","['pm', 'vaccin', 'may', 'mandatori', 'yearold', 'start', 'school']",-0.180906806746658
"70","['make', 'comeback', 'vengeanc', 'mani', 'countri', 'still', 'fight', 'battl', 'aiim', 'taskforc', 'chief', 'time']",-0.521451593828116
"71","['cancer', 'patient', 'chemotherapi', 'lower', 'immun', 'respons', 'vaccin', 'studi', 'find']",-0.0277350098112615
"72","['didnt', 'slow', 'grow', 'team', 'revloc', 'hire', 'dedic', 'digit', 'sale', 'repres', 'lawr']",-0.0121267812518167
"73","['sad', 'demonstr', 'import', 'get', 'jab', 'get']",-0.185485206700594
"74","['india', 'alon', 'number', 'death', 'must', 'may']",-0.14142135623731
"75","['impli', 'unpredict', 'tick', 'clock', 'wait', 'explod', 'th']",-0.258198889747161
"76","['yearold', 'woman', 'surviv', 'flu', 'kill', 'million', 'peopl', 'worldwid', 'die']",-0.3375
"77","['tragic', 'mileston', 'death', 'eclips', 'u']",-0.265165042944955
"78","['auckland', 'seem', 'set', 'remain', 'alert', 'level', 'lockdown', 'appear', 'across', 'border', 'waikato']",-0.0802955068546966
"79","['local', 'commun', 'import', 'futur', 'japan', 'ail', 'tourism', 'industri', 'de']",-0.176776695296637
"80","['latest', 'momus', 'smash', 'daili', 'thank', 'ai']",-0.0474341649025257
