"","V1","ave_sentiment"
"1","['possibl', 'safesex', 'health', 'well', 'life', 'love']",-0.0693375245281536
"2","['vaccin', 'vaccin', 'sex', 'south', 'africa', 'fit', 'work', 'ghanaweb']",-0.0138675049056307
"3","['live', 'news', 'updat', 'activ', 'case', 'lowest', 'day']",-0.166666666666667
"4","['thailand', 'log', 'new', 'case', 'fatal', 'previou', 'hour', 'public', 'health']",-0.25
"5","['sinc', 'start', 'american', 'die', 'death', 'worldwid']",-0.363803437554499
"6","['nawazsharif', 'receiv', 'fake', 'shot', 'lahor', 'hospit', 'm', 'smo', 'kot', 'khawaja', 'saeed', 'hospit', 'beed', 'susp']",-0.129636243217534
"7","['india', 'live', 'updat', 'death', 'suicid', 'test', 'posit', 'count', 'death']",-0.375
"8","['com', 'hu', 'ch', 'noth', 'hide', 'abt', 'allow', 'independ', 'investig']",-0.0606339062590832
"9","['seriou', 'group', 'scientist', 'declar', 'vaccin', 'risk', 'high', 'ignor']",-0.577350269189626
"10","['krnr', 'skorea', 'urg', 'test', 'fear', 'holiday', 'surg', 'south', 'korean', 'author', 'warn', 'peopl', 'retur']",-0.0994396062648965
"11","['vaccin', 'child', 'year', 'age', 'disabl', 'chronic', 'ill', 'begin', 'today']",-0.375
"12","['hesit', 'get', 'vaccin', 'reason', 'tini', 'behavior', 'qu']",-0.121267812518166
"13","['individu', 'infect', 'requir', 'hospit']",-0.053033008588991
"14","['diseas', 'mostli', 'spread', 'person', 'person', 'also', 'spread', 'peopl', 'anim']",-0.235702260395516
"15","['dr', 'tedro', 'transform', 'leader', 'handl', 'grace', 'era', 'hostil', 'trump', 'administr']",-0.0626099033699941
"16","['local', 'youth', 'train', 'fight', 'suzna', 'health', 'center', 'indianarmi', 'kishtwar']",-0.0645497224367903
"17","['could', 'make', 'guillainbarr', 'like', 'peopl', 'risk', 'disord']",-0.606217782649107
"18","['india', 'live', 'updat', 'death', 'suicid', 'test', 'posit', 'count', 'death']",-0.375
"19","['townsvil', 'sport', 'economi', 'keep', 'north', 'queensland', 'thrive', 'abc', 'news']",-0.144337567297406
"20","['mean', 'nearli', 'million', 'african', 'could', 'fall', 'extrem', 'poverti', 'commit']",-0.580947501931113
"21","['tourist', 'return', 'histor', 'chitlang', 'fear', 'wane', 'tourist', 'visit', 'chitlang', 'valley', 'surroun']",-0.601488350090106
"22","['india', 'live', 'updat', 'death', 'suicid', 'test', 'posit', 'count', 'death']",-0.375
"23","['hit', 'idp', 'idp', 'camp', 'mongko', 'tsp', 'northern', 'state', 'need', 'medic', 'suppli']",-0.0545544725589981
"24","['know', 'what', 'fatphob', 'love', 'fatti', 'lot']",-0.301511344577764
"25","['death', 'rise', 'washington', 'hospit', 'hit', 'alltim', 'high']",-0.142302494707577
"26","['use', 'give', 'entireti', 'bosom', 'hate']",-0.18190171877725
"27","['travel', 'pragu', 'here', 'realli', 'like']",-0.0267261241912424
"28","['mean', 'nearli', 'million', 'african', 'could', 'fall', 'extrem', 'poverti', 'commit']",-0.580947501931113
"29","['latest', 'ap', 'stori', 'unit', 'state']",-0.0904534033733291
"30","['india', 'live', 'updat', 'death', 'suicid', 'test', 'posit', 'count', 'death']",-0.375
"31","['tan', 'tock', 'seng', 'hospit', 'extend', 'emerg', 'depart', 'cope', 'surg', 'case']",-0.0935414346693485
"32","['could', 'make', 'guillainbarr', 'like', 'peopl', 'risk', 'disord']",-0.606217782649107
"33","['flu', 'influenza', 'theyr', 'two', 'differ', 'thing']",-0.451848057057532
"34","['u', 'afternoon', 'updat', 'gabbi', 'petito', 'case', 'florida', 'mask', 'con']",-0.125
"35","['vaccin', 'child', 'year', 'age', 'disabl', 'chronic', 'ill', 'begin', 'today']",-0.375
"36","['opinion', 'rage', 'hit', 'western', 'liber', 'democrat', 'valu', 'unveil', 'shortcom']",-0.86496628065299
"37","['suicid', 'within', 'day', 'test', 'posit', 'treat', 'death', 'centr', 'tell', 'sc']",-0.193649167310371
"38","['head', 'alberta', 'health', 'system', 'say', 'hospit', 'crisi', 'becom', 'dire', 'key', 'reason', 'system']",-0.257147817412476
"39","['china', 'report', 'decemb']",-0.499230176602706
"40","['exchines', 'communist', 'parti', 'insid', 'wei', 'jingsheng', 'claim', 'first', 'intent', 'happ']",-0.325
"41","['global', 'weekli', 'case', 'fall', 'say', 'stop', 'fight', 'front', 'come', 'roarin']",-0.514463339923264
