"","V1","ave_sentiment"
"1","['shop', 'worker', 'like', 'catch', 'last', 'two', 'wave']",-0.249615088301353
"2","['surpris', 'isnt', 'trend', 'yet', 'suprem', 'court', 'justic', 'kavanaugh', 'test', 'posit', 'start', 'look', 'like']",-0.1625
"3","['get', 'closer', 'beat', 'togeth', 'aseana', 'citi', 'estat', 'personnel', 'fulli', 'vaccin']",-0.0235702260395516
"4","['everyth', 'decid', 'u', 'saskatoon', 'long', 'term', 'care', 'resid', 'describ', 'inhuman', 'hardship', 'lockd']",-0.2
"5","['corrupt', 'congress', 'herd', 'immun', 'vaccin', 'that', 'march', 'septemb', 'bipartisan', 'ove']",-0.208012573584461
"6","['american', 'die', 'sinc', 'presid', 'joe', 'biden', 'took', 'offic']",-0.150755672288882
"7","['dr', 'bryan', 'ardi', 'hospit', 'protocol', 'turn', 'hospit', 'modernday', 'ga', 'chamber']",-0.0668153104781061
"8","['heart', 'inflamm', 'rate', 'higher', 'moderna', 'shot', 'pfizer', 'vaccin', 'canada', 'data']",-0.249615088301353
"9","['togeth', 'defeat']",-0.357770876399966
"10","['merck', 'say', 'new', 'experiment', 'pill', 'cut', 'risk', 'death', 'hospit', 'half']",-0.309838667696593
"11","['hospit', 'face', 'backlog', 'patient', 'delay', 'care', 'american']",-0.288675134594813
"12","['break', 'u', 'hit', 'new', 'mileston', 'american', 'dead', 'u', 'lead', 'world', 'de']",-0.0942809041582063
"13","['warren', 'counti', 'urg', 'vaccin', 'local', 'man', 'die']",-0.25298221281347
"14","['masker', 'chin', 'diaper', 'wearer', 'anyon', 'realli', 'surpris', 'still', 'kill', 'thousa']",-0.259272486435067
"15","['two', 'go', 'kill', 'bill', 'congress', 'vaccinepassport']",-0.21650635094611
"16","['merck', 'antivir', 'pill', 'could', 'chang', 'game']",-0.0753778361444409
"17","['pharmaceut', 'compani', 'merck', 'say', 'pill', 'cut', 'risk', 'death', 'half']",-0.692820323027551
"18","['australia', 'western', 'australia', 'close', 'christma', 'prime', 'minist', 'refus', 'open', 'border']",-0.180739222823013
"19","['san', 'jose', 'turn', 'park', 'meter', 'back', 'first', 'time', 'sinc', 'silicon', 'valley', 'busi', 'journal', 'sil']",-0.235702260395516
"20","['pill', 'could', 'soon', 'fill', 'gap', 'respons', 'vaccin', 'cant', 'overcom']",-0.3375
"21","['sigh', 'peopl', 'stupid', 'ivermectin', 'antiparasit', 'antivir', 'drug', 'viru']",-0.306412938514171
"22","['look', 'infograph', 'coverup']",-0.453557367611073
"23","['insan', 'pfizer', 'stand', 'accus', 'experi', 'month', 'old', 'orphan', 'babi', 'test', 'vaccin']",-0.424437343813583
"24","['research', 'associ', 'excess', 'bodi', 'weight', 'mortal', 'busi']",-0.237170824512628
"25","['that', 'hard', 'problem', 'mostli', 'project', 'ub', 'store', 'close', 'onlin', 'share']",-0.117851130197758
"26","['focu', 'nsw', 'govern', 'definit', 'need', 'ongo', 'crisi', 'someth']",-0.0729425892296772
"27","['republican', 'governor', 'threaten', 'lawsuit', 'biden', 'vaccin', 'mandat']",-0.45
"28","['teen', 'die', 'first', 'vaccin', 'dose']",-0.302371578407382
"29","['plea', 'year', 'mark', 'dead', 'american', 'know', 'thre']",-0.178885438199983
"30","['preprint', 'studi', 'overst', 'risk', 'myocard', 'follow', 'vaccin', 'withdrawn', 'reuter']",-0.3875
"31","['seven', 'dead', 'infect', 'trinidad', 'tobago', 'newsday', 'jampj']",-1.08544084047995
"32","['dead', 'epidem', 'deadliest', 'american', 'histori', 'despit', 'fact', 'eff']",-0.401477534273483
"33","['sad', 'global', 'death', 'hit', 'million', 'delta', 'variant', 'sweep', 'world']",-0.101036297108185
"34","['student', 'refus', 'get', 'vaccin', 'california', 'propos', 'vaccin', 'mandat', 'schoolchildren']",-0.193649167310371
"35","['declin', 'case', 'across', 'unit', 'state', 'past', 'sever', 'week', 'given', 'overwhelm', 'hospit']",-0.229415733870562
"36","['health', 'expert', 'say', 'compani', 'charg', 'excess', 'rate', 'test', 'loophol', 'fed']",-0.24088652056409
"37","['real', 'obama', 'gener', 'muslim', 'communist', 'mercenari']",-0.499639870306604
"38","['swfl', 'danger', 'zone']",-0.25
"39","['u', 'death', 'toll', 'hit']",-0.603738353924943
"40","['damn', 'damn', 'infect', 'also', 'lost', 'sen', 'tast', 'smell', 'unpleas', 'feel']",-0.938083151964686
"41","['liter', 'die', 'lib', 'covidiot']",-0.176776695296637
"42","['dr', 'tenpenni', 'telegram', 'crimin', 'globalist', 'genocid', 'coup', 'continu', 'dec']",-0.1875
"43","['compani', 'minorleagu', 'basebal', 'team', 'lose', 'th', 'circuit', 'coverag', 'appeal']",-0.0790569415042095
"44","['u', 'american', 'current', 'hospit', 'diseas', 'around', 'die', 'daili', 'although', 'vaccin']",-0.267461687843859
"45","['still', 'explain', 'variant', 'mutat', 'covidiot', 'chang']",-0.267261241912424
"46","['arrest', 'hawaii', 'author', 'arrest', 'two', 'peopl', 'california', 'submit', 'fake', 'test', 'result', 'avoid']",-0.5
"47","['crazi', 'statist', 'child', 'like', 'die', 'way', 'school', 'car', 'school']",-0.368951216287465
"48","['u', 'death', 'toll', 'surpass', 'despit', 'wide', 'avail', 'vaccin', 'time', 'india']",-0.37442263245203
"49","['pasifika', 'health', 'leader', 'urg', 'polic', 'put', 'stop', 'brian', 'tamaki', 'plan', 'protest', 'weekend']",-0.201246117974981
"50","['u', 'death', 'toll', 'eclips']",-0.551135192126215
"51","['american', 'dead', 'hey', 'moscowmitch', 'goppandem', 'trumplegaci', 'covidisr']",-0.333333333333333
"52","['kareem', 'abduljabbar', 'nba', 'player', 'refus', 'vaccin', 'live', 'stake']",-0.144337567297406
"53","['india', 'total', 'case', 'reach', 'mln', 'death', 'toll', 'reach', 'health', 'ministri']",-0.407040315179981
"54","['unit', 'state', 'reach', 'latest', 'heartbreak', 'mileston', 'friday', 'eclips', 'death']",-0.346687622640768
"55","['u', 'death', 'toll', 'surpass', 'despit', 'wide', 'avail', 'vaccin']",-0.426907484122731
"56","['friend', 'co', 'worker', 'die', 'yesterday', 'complic', 'said', 'believ']",-0.0727606875108999
"57","['u', 'death', 'toll', 'surpass', 'despit', 'wide', 'avail', 'vaccin']",-0.426907484122731
"58","['warren', 'counti', 'urg', 'vaccin', 'local', 'man', 'die']",-0.25298221281347
"59","['new', 'antivir', 'pill', 'reduc', 'risk', 'hospitalis', 'patient']",-0.0577350269189626
"60","['massachusett', 'state', 'polic', 'trooper', 'resign', 'vaccin', 'mandat', 'updat', 'npr']",-0.208012573584461
"61","['school', 'close', 'darbi', 'griffin', 'leav']",-0.360843918243516
"62","['warren', 'counti', 'urg', 'vaccin', 'local', 'man', 'die']",-0.25298221281347
"63","['infograph']",-0.4
"64","['your', 'impress', 'death', 'toll', 'florida', 'mere', 'bad']",-0.361478445646026
"65","['u', 'death', 'toll', 'surpass', 'despit', 'wide', 'avail', 'vaccin']",-0.426907484122731
"66","['go', 'away', 'na', 'miss', 'moment', 'pag', 'mag', 'coconcert', 'na']",-0.288675134594813
"67","['vietnam', 'vietnames', 'polic', 'beat', 'citizen', 'demand', 'return', 'hometown', 'hochiminhc']",-0.0387298334620742
"68","['americanairlin', 'alaskaairlin', 'jetblu', 'order', 'worker', 'get', 'vaccin', 'ef', 'time']",-0.0277350098112615
"69","['studi', 'sar', 'cov', 'infect', 'potenti', 'transmiss', 'individu', 'immun', 'moderna', 'vaccin']",-0.125
"70","['peopl', 'keep', 'act', 'like', 'post']",-0.158113883008419
"71","['australia', 'western', 'australia', 'close', 'christma', 'premier', 'refus', 'open', 'border']",-0.0774596669241484
"72","['u', 'hit', 'death', 'case', 'begin', 'fall']",-0.0790569415042095
"73","['mom', 'conn', 'teen', 'speak', 'son', 'suffer', 'heart', 'condit', 'day', 'vaccin']",-0.200445931434318
"74","['broke', 'record', 'russia', 'kill', 'peopl', 'day', 'wreak', 'havoc', 'russia', 'kill']",-1.03077640640442
"75","['activ', 'case', 'countri', 'declin', 'union', 'health', 'ministri']",-0.158113883008419
"76","['cdc', 'show', 'dispar', 'vaccin', 'among', 'adult', 'disabl', 'compar', 'adult', 'without', 'disabi']",-0.194028500029066
"77","['although', 'vaccin', 'nearli', 'year', 'death', 'toll', 'offici', 'surpass']",-0.318198051533946
"78","['report', 'point', 'worker', 'ration', 'action', 'livabl', 'safetycovid', 'shortag', 'inequ', 'effect']",-0.0346687622640768
"79","['oct', 'british', 'arriv', 'irrespect', 'vaccin', 'statu', 'present', 'neg']",-0.121267812518166
"80","['american', 'die', 'that', 'peopl', 'live', 'citi', 'boston', 'denver', 'det']",-0.114707866935281
