"","V1","ave_sentiment"
"1","['sinc', 'start', 'american', 'die', 'death', 'worldwid']",-0.363803437554499
"2","['latest', 'oregon', 'hospit', 'dig', 'long', 'surg']",-0.0790569415042095
"3","['fda', 'author', 'pfizer', 'booster', 'peopl', 'older', 'high', 'risk', 'sever']",-0.4875
"4","['alaska', 'overwhelm', 'patient', 'adopt', 'crisi', 'standard', 'hospit']",-0.347850542618522
"5","['well', 'he', 'wrong', 'auspol']",-0.0204124145231932
"6","['dont', 'like', 'rule', 'tampa', 'bay', 'show', 'refund', 'unlik']",-0.288675134594813
"7","['fda', 'author', 'pfizerbiontech', 'booster', 'shot', 'elderli', 'peopl', 'high', 'risk', 'sever']",-0.628063918494197
"8","['approv', 'ethic', 'irreproach', 'vaccin', 'avail']",-0.110940039245046
"9","['mayotrain', 'doctor', 'warn', 'mutat', 'duh', 'tell', 'aint', 'wond']",-0.0645497224367903
"10","['glass', 'anim', 'concert', 'bonner', 'spring', 'requir', 'fan', 'show', 'proof', 'full', 'vaccin', 'neg', 'test']",-0.0353553390593274
"11","['four', 'six', 'polic', 'offic', 'charg', 'murder', 'two', 'embu', 'brother', 'contract', 'custodi']",-0.506759859850359
"12","['death', 'relat', 'america', 'surpass', 'toll', 'flu', 'kill', 'peopl']",-0.691226531353549
"13","['opinion', 'im', 'doctor', 'here', 'avoid', 'mandat', 'kind', 'virtual', 'unavoid', 'al']",-0.114707866935281
"14","['ivermectin', 'proven', 'treatment']",-0.0833333333333333
"15","['australia', 'queensland', 'polic', 'suspend', 'without', 'pay', 'dont', 'get', 'vaccin']",-0.230408843784516
"16","['scientist', 'plan', 'releas', 'particl', 'cave', 'bat', 'leak', 'paper', 'reveal']",-0.400891862868637
"17","['jokowi', 'talk', 'vaccin', 'politic', 'discrimin', 'unga', 'tempoenglish']",-0.158113883008419
"18","['act', 'like', 'peopl', 'die', 'april', 'tragic', 'accid']",-0.000303169531295416
"19","['scientist', 'china', 'suggest', 'unit', 'state', 'began', 'bac']",-0.0774596669241484
