"","V1","ave_sentiment"
"1","['nba', 'deni', 'andrew', 'wiggin', 'religi', 'exempt', 'vaccin']",-0.25
"2","['warrior', 'wiggin', 'deni', 'religi', 'exempt', 'vaccin']",-0.353553390593274
"3","['mrna', 'vaccinecan', 'alter', 'dna']",-0.102062072615966
"4","['shut', 'ur', 'mouth', 'hypocrit', 'nigeria', 'yall', 'protect', 'kill', 'human']",-0.1625
"5","['ah', 'say', 'patient', 'show', 'red', 'deer', 'hospit', 'sent', 'elsewher', 'lack', 'capac']",-0.176776695296637
"6","['disappoint', 'news', 'unsurpris', 'sooner', 'rid', 'public', 'health', 'respon']",-0.140875
"7","['light', 'shower', 'threaten', 'chanc', 'threaten', 'much']",-0.85
"8","['view', 'cohost', 'ana', 'navarro', 'test', 'neg', 'twice', 'rush', 'set']",-0.1875
"9","['view', 'cohost', 'ana', 'navarro', 'test', 'neg', 'twice', 'rush', 'set']",-0.1875
"10","['ah', 'say', 'patient', 'show', 'red', 'deer', 'hospit', 'sent', 'elsewher', 'lack', 'capac']",-0.176776695296637
"11","['remov', 'airborn', 'sarscov', 'microbi', 'bioaerosol', 'air', 'filtrat', 'surg', 'unit']",-0.0625
"12","['norway', 'offici', 'compar', 'flu', 'countri', 'remov', 'restrict']",-0.451848057057532
"13","['talli', 'took', 'year', 'servic', 'member', 'die', 'covidit', 'took', 'month', 'death']",-0.335410196624968
"14","['naval', 'retweet', 'lab', 'leak', 'bioengin', 'stuff', 'thought', 'leadership', 'know', 'lead', 'go']",-0.129099444873581
"15","['nepal', 'human', 'traffick', 'case', 'increas', 'amid', 'sudurpaschim']",-0.316227766016838
"16","['abt', 'idp', 'mongkong', 'muse', 'district', 'found', 'case', 'bring', 'total', 'number', 'infect', 'pe']",-0.0344123600805843
"17","['countri', 'claim', 'hasnt', 'singl', 'case', 'activist', 'say', 'that', 'lie']",-0.129099444873581
"18","['biden', 'inherit', 'ignor', 'american', 'dead', 'time', 'tr']",-0.65
"19","['collect', 'time', 'spent', 'research', 'develop']",-0.259807621135332
"20","['projectverita', 'expo', 'fda', 'employe']",-0.178885438199983
"21","['octob', 'nsw', 'victoria', 'health', 'system', 'get', 'overwhelm', 'case', 'project', 'peak', 'hospit']",-0.176776695296637
"22","['vaccin', 'like', 'killer', 'vaccin', 'antidot', 'fda', 'mee']",-0.44783429475148
"23","['five', 'dead', 'infect', 'washington', 'nurs', 'home']",-0.768853928673297
"24","['leav', 'last', 'mark', 'real', 'estat', 'leav', 'last', 'mark', 'real', 'estat']",-0.164991582276861
"25","['chug', 'coca', 'cola', 'danger']",-0.318198051533946
"26","['break', 'three', 'studi', 'publish', 'cdc', 'uk', 'govern', 'oxford', 'univers', 'find', 'vaccin']",-0.125
"27","['cd', 'listserv', 'dissemin', 'lot', 'disinform', 'across', 'medic', 'sci']",-0.160356745147455
"28","['scientist', 'say', 'pill', 'treat', 'would', 'month', 'away']",-0.411096095821889
"29","['lack', 'inclus', 'vaccin', 'recognit', 'plan', 'exacerb', 'vaccin', 'inequ', 'citynewss']",-0.120267558860591
"30","['lack', 'transpar', 'sk', 'gov', 'decis', 'make', 'problem', 'begin', 'furt']",-0.545544725589981
"31","['never', 'take', 'vaccin', 'sinc', 'induc', 'blood', 'clot', 'trig', 'lethal', 'chain', 'reaction', 'bod']",-0.117851130197758
"32","['fdl', 'offic', 'die', 'contract', 'duti', 'chief', 'say']",-0.277350098112615
"33","['canada', 'medicaldevic', 'regulatori', 'daili', 'stori', 'vaccin']",-0.0883883476483184
"34","['andrew', 'wiggin', 'request', 'deni', 'vaccin', 'exempt']",-0.353553390593274
"35","['although', 'seem', 'preval', 'patient', 'pah', 'mortal', 'appear', 'high']",-0.109108945117996
"36","['feel', 'anxious', 'constantli', 'state', 'healthcar']",-0.277350098112615
"37","['turkmenistan', 'claim', 'hasnt', 'singl', 'case', 'activist', 'say', 'that', 'lie']",-0.133630620956212
"38","['turkmenistan', 'claim', 'hasnt', 'singl', 'case', 'activist', 'say', 'that', 'lie']",-0.133630620956212
"39","['marxist', 'protest', 'immun', 'freeaustralia', 'freevictoria', 'freedomr', 'melbourneprotest']",-0.0316227766016838
"40","['bt', 'pandem', 'mental', 'toll', 'band', 'viral', 'un', 'appear', 'abc', 'news']",-0.173205080756888
"41","['unit', 'employe', 'sue', 'airlin', 'exempt', 'vaccin', 'mandat', 'compani', 'announc']",-0.117851130197758
"42","['world', 'map', 'track', 'global']",-0.151185789203691
"43","['diseas', 'dexamethason', 'use', 'treat', 'inflamm', 'skin', 'joint', 'lung', 'ot']",-0.363803437554499
"44","['fundrais', 'deltavari', 'gofundm', 'gofundm', 'tire', 'watch', 'u', 'burn']",-0.331976404784035
"45","['like', 'shift', 'endem', 'mean']",-0.27746103815186
"46","['paul', 'mccartney', 'target', 'chine', 'wet', 'market', 'littl', 'bit', 'mediev', 'eat', 'ba']",-0.325
"47","['biden', 'say', 'plan', 'get', 'vaccin', 'booster', 'shot']",-0.120604537831105
"48","['earli', 'treatment', 'symptomat', 'patient', 'antihistamin', 'azithromycin']",-0.0790569415042095
"49","['robot', 'drummer', 'cardboard', 'fan', 'stand', 'delay', 'taiwa']",-0.0452267016866646
"50","['research', 'explod', 'sinc', 'hit', 'safe', 'wall', 'street', 'journal', 'stop', 'nonsens']",-0.278915968791783
"51","['physiotherapi', 'critic', 'recov', 'strength', 'infect', 'say', 'patient', 'strait', 'time']",-0.0970725343394151
"52","['u', 'uk', 'see', 'rise', 'death', 'delta', 'variant', 'wreak', 'havoc', 'hindustan', 'time']",-0.534522483824849
"53","['doom', 'journey', 'put', 'quarantin', 'sent', 'home']",-0.173205080756888
"54","['u', 'uk', 'see', 'rise', 'death', 'delta', 'variant', 'wreak', 'havoc', 'india', 'news', 'cart']",-0.516397779494322
"55","['dont', 'even', 'rememb', 'last', 'time', 'got', 'serious', 'sick', 'even', 'got', 'coupl', 'month', 'ago', 'asi']",-0.275567596063108
"56","['neighbourli', 'chat', 'keep', 'safe', 'distanc', 'lockdown']",-0.376889180722205
"57","['ivermectin', 'prevent', 'treatment', 'infect', 'systemat', 'review', 'metaanalysi', 'trial', 'sequen']",-0.193649167310371
"58","['word', 'sinc', 'inpli', 'case']",-0.25
"59","['didnt', 'slow', 'grow', 'team', 'revloc', 'hire', 'dedic', 'digit', 'sale', 'repres', 'tole']",-0.0121267812518167
"60","['u', 'congress', 'consid', 'way', 'help', 'u', 'turn', 'corner', 'imper', 'th']",-0.218217890235992
"61","['doctor', 'lost', 'patient', 'say', 'deni', 'death', 'bed', 'dont', 'believ']",-0.614918693812442
"62","['forc', 'skeptic', 'vaccin', 'ive', 'far', 'histori', 'infecti', 'di']",-0.692902328155734
"63","['sinc', 'child', 'vaccin', 'apart', 'gone', 'fulli']",-0.110940039245046
