"","V1","ave_sentiment"
"1","['sepcoup', 'total', 'death', 'whatshappeninginmyanmar']",-0.335410196624968
"2","['isnt', 'new']",-0.4
"3","['continu', 'stunt', 'woman', 'career', 'studi', 'find']",-0.5
"4","['sinc', 'start', 'american', 'die', 'death', 'worldwid']",-0.363803437554499
"5","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"6","['twotrack', 'global', 'effect', 'vaccin', 'access', 'develop', 'countri', 'far', 'exceed']",-0.0242535625036333
"7","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"8","['michigan', 'doctor', 'wrote', 'comb', 'patient', 'die']",-0.404145188432738
"9","['continu', 'stunt', 'woman', 'career', 'studi', 'find']",-0.5
"10","['issu', 'vaccin', 'advic', 'hand', 'want', 'listen', 'dr', 'hand']",-0.204124145231932
"11","['cut', 'life', 'expect', 'sinc', 'world', 'war', 'two', 'studi']",-0.490747728811182
"12","['psyop', 'control', 'demolit', 'economi', 'also', 'control', 'demolit', 'societ']",-0.229415733870562
"13","['stop', 'talk', 'treatment']",-0.14142135623731
"14","['earlier', 'august', 'u', 'releas', 'report', 'trace', 'origin', 'reject']",-0.327326835353989
"15","['truli', 'crimin', 'around', 'overi', 'year']",-0.624037720753383
"16","['capo', 'talk', 'invest', 'endsproduct', 'video', 'youtub']",-0.316227766016838
"17","['continu', 'stunt', 'woman', 'career', 'studi', 'find', 'cnet']",-0.474341649025257
"18","['panel', 'scientist', 'investig', 'origin', 'disband']",-0.158113883008419
"19","['long', 'current', 'nz', 'last', 'answer', 'lie', 'know', 'follow', 'household', 'au']",-0.268328157299975
"20","['teen', 'trauma', 'mental', 'health', 'updat']",-0.265165042944955
"21","['bridetob', 'spent', 'plan', 'wed', 'day', 'ventil', 'die']",-0.226133508433323
"22","['sep', 'confirm', 'case', 'recoveri', 'fatal', 'nationwid']",-0.144337567297406
"23","['chine', 'envoy', 'refut', 'u', 'origintrac', 'report']",-0.151185789203691
"24","['mr', 'vp', 'usa', 'suggest', 'go', 'head', 'tetanu', 'vaccin', 'everi', 'american', 'reduc', 'death']",-0.167705098312484
"25","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"26","['kind', 'relat', 'think', 'delay', 'mpj', 'extens', 'someth']",-0.387139050906573
"27","['scientist', 'examin', 'kid', 'uniqu', 'immun', 'system', 'fall', 'victim']",-0.21380899352994
"28","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"29","['imagin', 'panick', 'test', 'hiv', 'ebola', 'thetestsdontwork']",-0.193649167310371
"30","['old', 'penn', 'teller', 'clip', 'vaccin', 'circul', 'amid', 'vaccin', 'skeptic']",-0.0645497224367903
"31","['yup', 'look', 'israel', 'time', 'increas', 'death', 'rate', 'late', 'dec']",-0.133630620956212
"32","['got', 'email', 'univers', 'vice', 'chancellor', 'make', 'vaccin', 'requir', 'attend', 'campu']",-0.0606339062590832
"33","['scientist', 'examin', 'kid', 'uniqu', 'immun', 'system', 'fall', 'victim']",-0.21380899352994
"34","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"35","['el', 'death', 'kid', 'accept', 'sacrific', 'name', 'freedom']",-0.0545544725589981
"36","['u', 'enough', 'vaccin', 'booster', 'kid', 'shot', 'ap', 'million', 'dose']",-0.058925565098879
"37","['mandatori', 'vaccin', 'passport', 'god', 'dammit', 'ableg', 'canpoli', 'covidab', 'abhealth']",-0.166410058867569
"38","['depe', 'earlier', 'said', 'vaccin', 'requir', 'teacher', 'join', 'limit', 'facetofac', 'class']",-0.193649167310371
"39","['u', 'spent', 'much', 'larger', 'percent', 'gdp', 'respond', 'germani']",-0.374388390133384
"40","['im', 'live', 'odspoverti', 'shouldnt', 'make', 'maid', 'attract', 'option', 'shown', 'conclus', 'govt']",-0.225
"41","['capt', 'kirk', 'doc', 'bone', 'bone', 'long', 'last', 'bone', 'repli', 'damn', 'jim', 'dont', 'know']",-0.391311896062463
"42","['take', 'possibl', 'step', 'curb', 'spike', 'here', 'nagaland', 'perform', 'fight']",-0.114707866935281
"43","['scientist', 'examin', 'kid', 'uniqu', 'immun', 'system', 'fall', 'victim']",-0.21380899352994
"44","['la', 'polic', 'fire', 'agenc', 'hotb', 'vaccin', 'opposit', 'outbreak']",-0.376889180722205
"45","['sad', 'loss', 'william', 'almost', 'australian', 'die', 'home', 'hi']",-0.458381540164562
"46","['religion', 'doesnt', 'allow', 'vaccin', 'medic', 'cant', 'take']",-0.0625
"47","['unjust', 'irrespons', 'vaccin', 'made', 'avail', 'peopl', 'live', 'low', 'incom', 'coun']",-0.0117851130197758
"48","['red', 'deer', 'hospit', 'block', 'patient', 'lack', 'capac', 'ah']",-0.360843918243516
"49","['thought', 'fight', 'cervic', 'cancer', 'age', 'dr', 'suresh', 'kumarasami']",-0.429892652074553
"50","['ontario', 'hospit', 'worker', 'suspend', 'without', 'pay', 'threaten', 'termin', 'refus', 'jab', 'lifesi']",-0.828509849928516
"51","['india', 'record', 'case', 'last', 'hr', 'activ', 'case', 'lowest', 'day']",-0.144337567297406
"52","['case', 'updat', 'new', 'case', 'infect', 'countri', 'patient', 'lost', 'live', 'last']",-0.164991582276861
"53","['reduc', 'life', 'expect', 'largest', 'amount', 'sinc', 'world', 'war', 'two', 'accord', 'st']",-0.344123600805843
"54","['canada', 'medicaldevic', 'regulatori', 'daili', 'stori', 'vaccin']",-0.0883883476483184
"55","['airborn', 'droplet', 'linger', 'air', 'video', 'simul', 'singl', 'cough', 'spread', 'mi']",-0.338237729865788
"56","['parti', 'polit', 'broadcast', 'craft', 'goebbelswannab', 'play', 'fear', 'hig']",-0.176776695296637
"57","['puzzl', 'usual', 'follow', 'money', 'pfizer', 'billion', 'vaccin', 'revenu', 'yea']",-0.18190171877725
"58","['sever', 'impact', 'million', 'student', 'within', 'uk', 'higher', 'educ', 'sector', 'univ']",-0.45
"59","['u', 'enough', 'vaccin', 'booster', 'kid', 'shot']",-0.0790569415042095
"60","['thought', 'cochair', 'asiapacif', 'hpv', 'coalit', 'fight', 'cervic', 'cancer', 'age']",-0.3625
"61","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"62","['gottlieb', 'administr', 'dismiss', 'effort', 'fight', 'assum', 'everyon', 'go']",-0.315296312547233
"63","['u', 'death', 'rate', 'state', 'visual', 'give', 'insight', 'thank', 'data', 'scient']",-0.0363803437554499
"64","['lab', 'web', 'chine', 'red', 'tape', 'delay', 'u', 'scientist', 'get', 'access']",-0.1875
"65","['neverend', 'tale', 'anger', 'frustrat']",-0.618718433538229
"66","['becom', 'irrelev']",-0.375
"67","['kill', 'field']",-0.335410196624968
"68","['infect', 'everi', 'state', 'territori', 'australia']",-0.25298221281347
"69","['chine', 'envoy', 'refut', 'u', 'origintrac', 'report']",-0.151185789203691
"70","['sc', 'second', 'straight', 'week', 'high', 'death', 'toll', 'dhec', 'report']",-0.528275496308508
"71","['alabama', 'lawmak', 'propos', 'bill', 'would', 'allow', 'employe', 'sue', 'side', 'effect']",-0.208012573584461
