"","V1","ave_sentiment"
"1","['nightmar', 'damn', 'congress', 'tyrann', 'rate', 'recoveri', 'american', 'wake']",-0.490990253030983
"2","['vaccin', 'prevent', 'get', 'prevent', 'sever']",-0.133630620956212
"3","['sinc', 'start', 'american', 'die', 'death', 'worldwid']",-0.363803437554499
"4","['delta', 'vaccin', 'test', 'call', 'riski', 'auckland', 'alertlevel', 'decis', 'near']",-0.360555127546399
"5","['nigeria', 'miss', 'african', 'nation', 'hit', 'vaccin', 'nigeria', 'newspot', 'nigeria', 'world', 'news']",-0.322748612183951
"6","['urgent', 'alert', 'watch', 'import', 'messag', 'samoan', 'donina', 'vaa', 'chair', 'pacif', 'woman', 'profess']",-0.0606339062590832
"7","['kill', 'american', 'rural', 'area', 'twice', 'rate', 'urban', 'area']",-0.1875
"8","['exampl', 'medium', 'frame', 'relat', 'uwj']",-0.240535117721182
"9","['econom', 'health', 'sector', 'respond', 'local', 'intern', 'find']",-0.286769667338202
"10","['updat', 'total', 'case', 'activ', 'recoveri', 'test']",-0.0883883476483184
"11","['kill', 'american', 'rural', 'area', 'twice', 'rate', 'urban', 'area']",-0.1875
"12","['testimoni', 'victim', 'vaccin', 'israel', 'iii', 'testimoni', 'project', 'websit']",-0.208012573584461
"13","['your', 'afraid', 'must', 'shit', 'show', 'aid']",-0.400891862868637
"14","['compani', 'alreadi', 'knew', 'situat', 'want', 'know', 'file', 'sick', 'posi']",-0.167705098312484
"15","['state', 'board', 'nurs', 'make', 'vaccin', 'mandatori', 'lic', 'nurs', 'refus', 'lic', 'revok']",-0.29459415181859
"16","['learn', 'plagu']",-0.176776695296637
"17","['septemb', 'updat', 'mortgag', 'servic', 'trend', 'report']",-0.14142135623731
"18","['nsw', 'premier', 'gladi', 'berejiklian', 'resign', 'spread', 'across', 'australia', 'twice']",-0.258198889747161
"19","['worldchart', 'worldtot', 'case', 'death', 'nation']",-0.28347335475692
"20","['anoth', 'person', 'charg', 'toronto', 'famili', 'allegedli', 'stole', 'relief']",-0.0832050294337844
"21","['vulner', 'popul', 'elder', 'senior', 'remind', 'get', 'vacci']",-0.109108945117996
"22","['expert', 'broad', 'spectrum', 'symptom', 'complic', 'sarscov']",-0.115470053837925
"23","['surg', 'delta', 'variant', 'forc', 'financi', 'advisor', 'revisit', 'backtotheoffic', 'pl']",-0.121267812518166
"24","['await', 'respons', 'kelvin', 'davi', 'repli', 'advic', 'manag', 'prison']",-0.0935414346693485
"25","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'nex']",-0.485071250072666
"26","['usa', 'dead', 'want', 'american', 'peopl', 'usa', 'think', 'min', 'let']",-0.208514414057075
"27","['affect', 'brain', 'troubl', 'pictur', 'emerg', 'august']",-0.277350098112615
"28","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'next', 'gene']",-0.471404520791032
"29","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'next', 'gene']",-0.471404520791032
"30","['took', 'case', 'public', 'health', 'call', 'barri', 'lost', 'resid', 'staf']",-0.53912697459582
"31","['thank', 'highlight', 'dread', 'situat', 'school']",-0.0753778361444409
"32","['nsw', 'updat', 'dozen', 'nsw', 'polic', 'offic', 'infect', 'sinc', 'began']",-0.554700196225229
"33","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'next', 'gene']",-0.471404520791032
"34","['ridicul', 'blunder', 'describ', 'everyth', 'sask', 'case', 'today', 'moe']",-0.294627825494395
"35","['today', 'mark', 'death', 'toll', 'american', 'die', 'paus']",-0.494433297537985
"36","['compil', 'anti', 'vaxxer', 'anti', 'maskersand', 'denier', 'succumb']",-0.5625
"37","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'next', 'gene']",-0.471404520791032
"38","['pretend', 'doctor', 'nurs', 'legitim', 'medic', 'object', 'get', 'vaccin', 'help', 'defeat']",-0.121267812518166
"39","['would', 'need', 'poison']",-0.265165042944955
"40","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur']",-0.5
"41","['overal', 'infect', 'go', 'past', 'lakh', 'andhrapradesh']",-0.333333333333333
"42","['fewer', 'nsw', 'case', 'miq', 'mean', 'le', 'risk', 'escap', 'miq', 'prett']",-0.25
"43","['tale', 'two', 'wave', 'epidem', 'characterist', 'mortal', 'risk', 'factor', 'icu', 'patient', 'french', 'west', 'indi']",-0.436435780471985
"44","['plea', 'know', 'choic', 'get', 'vaccin', 'affect', 'peopl', 'around', 'heart', 'broken', 'tonight']",-0.0327326835353989
"45","['happen', 'anybodi', 'northwest', 'indiana', 'teen', 'die', 'month', 'icu', 'wgn', 'news']",-0.194028500029066
"46","['thought', 'quarantin', 'deal', 'infect']",-0.158113883008419
"47","['get', 'vaccin', 'flu', 'time']",-0.208012573584461
"48","['get', 'vaccin', 'flu', 'time']",-0.208012573584461
"49","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur', 'next', 'gene']",-0.471404520791032
"50","['tire', 'mental', 'health', 'fail', 'covidab', 'resignkenney', 'firebreakab']",-0.433012701892219
"51","['china', 'russia', 'target', 'global', 'audienc', 'propaganda']",-0.110679718105893
"52","['anoth', 'govern', 'guam', 'agenc', 'prepar', 'administ', 'inhous', 'test', 'employe', 'follow']",-0.125
"53","['statist', 'canada', 'june', 'effect', 'physic', 'activ', 'among', 'canadian', 'futur', 'risk']",-0.1875
"54","['american', 'arent', 'elig', 'booster', 'get', 'shot', 'question', 'ask', 'pharmaci', 'doct']",-0.0917662935482247
"55","['testimoni', 'victim', 'vaccin', 'israel', 'iv', 'testimoni', 'projec']",-0.21650635094611
"56","['kill', 'american', 'rural', 'area', 'twice', 'rate', 'urban', 'area']",-0.1875
"57","['testimoni', 'victim', 'vaccin', 'israel', 'iii', 'testimoni', 'project', 'websi']",-0.208012573584461
"58","['restless', 'anal', 'syndrom', 'affect', 'man', 'infect', 'if', 'and', 'butt']",-0.553900311929462
"59","['univers', 'stop', 'make', 'excus', 'kill', 'destroy']",-0.534522483824849
"60","['restless', 'anal', 'syndrom', 'man', 'develop', 'symptom', 'recoveri', 'busi', 'insid']",-0.527644853011086
"61","['univers', 'stop', 'make', 'excus', 'kill', 'destroy', 'futur']",-0.516397779494322
"62","['univers', 'stop', 'make', 'excus', 'kill', 'dest']",-0.433012701892219
"63","['nurs', 'whistleblow', 'speak', 'vaccin', 'er', 'statu', 'insid', 'hospit']",-0.138675049056307
"64","['bori', 'johnson', 'former', 'spin', 'chief', 'blame', 'bad', 'polici', 'uk', 'politico', 'london', 'bori', 'johnson', 'former']",-0.4375
"65","['toyota', 'provid', 'updat', 'suppli', 'vehicl', 'asia', 'australia', 'japan', 'launch']",-0.0288675134594813
"66","['amid', 'ongo', 'fight', 'diseas', 'local', 'govern', 'wage', 'effort', 'stop']",-0.582085500087199
"67","['incid', 'bacteri', 'pneumonia', 'era', 'annual', 'incid', 'bacteri', 'pneumonia', 'treat', 'sec']",-0.471404520791032
"68","['hey', 'deliveri', 'staff', 'wear', 'mask', 'anymor', 'extinct', 'person', 'wh']",-0.252357307257618
"69","['definit', 'wouldnt', 'cut', 'obamacar', 'fund', 'cdc', 'thrown', 'playbook']",-0.230408843784516
"70","['get', 'flu', 'shot', 'expert', 'warn', 'impend', 'influenza', 'wave', 'amid']",-0.866025403784439
"71","['case', 'drop', 'might', 'mandatori', 'mask', 'order', 'la', 'co', 'lo', 'angel', 'time', 'lo', 'angel', 'counti']",-0.245967477524977
"72","['mandat', 'vaccin', 'like', 'chicken', 'pox', 'rubella', 'measl']",-0.0866025403784439
"73","['restless', 'anal', 'syndrom', 'affect', 'man', 'infect']",-0.743135250139569
"74","['belarusian', 'presid', 'lukashenko', 'say', 'imf', 'offer', 'billion', 'usd', 'bribe', 'impos', 'lockdown']",-0.33407655239053
"75","['lazi', 'miss', 'nd', 'dose', 'vaccin', 'intent']",-0.33407655239053
"76","['kardashian', 'struggl', 'common', 'side', 'effect']",-0.176776695296637
"77","['kill', 'american', 'rural', 'area', 'twice', 'rate', 'urban', 'area']",-0.1875
"78","['live', 'die']",-0.335410196624968
"79","['come', 'fuck', 'wit', 'ya', 'boi', 'sangwoo', 'nsfwxroleplay', 'dallastx', 'worldstar']",-0.115470053837925
